name,Category,Addr,analytics,logo
Sheraton Agoura Hills Hotel,Category 4,"30100 Agoura Road Agoura Hills, California 91301",Sheraton Agoura Hills Hotel 3.9   498 Reviews View Rates,undefined undefined
TownePlace Suites Thousand Oaks Agoura Hills,Category 4,"29505 Agoura Road Agoura Hills, California 91301",TownePlace Suites Thousand Oaks Agoura Hills View Calendar,undefined undefined
Fairfield Inn & Suites Aiken,Category 5,"185 Colony Parkway Aiken, South Carolina 29803",Fairfield Inn & Suites Aiken 4.6   321 Reviews View Rates,undefined undefined
TownePlace Suites Aiken Whiskey Road,Category 4,"1008 Monterey Drive Aiken, South Carolina 29803",TownePlace Suites Aiken Whiskey Road 4.4   276 Reviews View Rates,undefined undefined
Courtyard Akron Downtown,Category 3,"41 Furnace Street Akron, Ohio 44308",Courtyard Akron Downtown 4.4   455 Reviews View Rates,undefined undefined
Courtyard Akron Fairlawn,Category 2,"100 Springside Drive Akron, Ohio 44333",Courtyard Akron Fairlawn 4.4   242 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Akron Fairlawn,Category 2,"208 Springside Drive Akron, Ohio 44333",Fairfield Inn & Suites Akron Fairlawn 4.4   276 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Akron South,Category 2,"1025 Interstate Parkway Akron, Ohio 44312",Fairfield Inn & Suites Akron South 4.6   375 Reviews View Rates,undefined undefined
Residence Inn Akron South/Green,Category 2,"897 Arlington Ridge East Akron, Ohio 44312",Residence Inn Akron South/Green 4.6   343 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Alamogordo,Category 2,"300 Panorama Boulevard Alamogordo, New Mexico 88310",Fairfield Inn & Suites Alamogordo 4.1   320 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Alamosa,Category 3,"721 Mariposa Street Alamosa, Colorado 81101",Fairfield Inn & Suites Alamosa 4.8   302 Reviews View Rates,undefined undefined
Courtyard Albany,Category 3,"3019 Kensington Court Albany, Georgia 31721",Courtyard Albany 4.2   336 Reviews View Rates,undefined undefined
Courtyard Albany Airport,Category 2,"227 Wolf Road Albany, New York 12205",Courtyard Albany Airport View Rates,undefined undefined
Courtyard Albany Thruway,Category 3,"1455 Washington Avenue Albany, New York 12206",Courtyard Albany Thruway 4.4   349 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Albany,Category 3,"3011 Kensington Court Albany, Georgia 31721",Fairfield Inn & Suites Albany 4.5   394 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Albany Airport,Category 2,"168 Wolf Road Albany, New York 12205",Fairfield Inn & Suites Albany Airport 4.2   37 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Albany Downtown,Category 3,"74 State Street Albany, New York 12207",Fairfield Inn & Suites Albany Downtown 4.4   314 Reviews View Rates,undefined undefined
Fairfield Inn Albany University Area,Category 2,"1383 Washington Avenue Albany, New York 12206",Fairfield Inn Albany University Area 4.1   372 Reviews View Rates,undefined undefined
Marriott Albany,Category 4,"189 Wolf Road Albany, New York 12205",Marriott Albany 4.3   808 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined
Renaissance Albany Hotel,Category 4,"144 State Street Albany, New York 12207",Renaissance Albany Hotel 4.6   508 Reviews View Rates,undefined undefined
Residence Inn Albany Airport,Category 2,"227 Wolf Road Albany, New York 12205",Residence Inn Albany Airport View Rates,undefined undefined
Residence Inn Albany Washington Avenue,Category 2,"124 Washington Avenue Extension Albany, New York 12203",Residence Inn Albany Washington Avenue 4.6   492 Reviews View Rates,undefined undefined
SpringHill Suites Albany-Colonie,Category 2,"8 California Avenue Albany, New York 12205",SpringHill Suites Albany-Colonie 4.4   425 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ALBCO/albco-lobby-0025-hor-feat.jpg?resize=375:150 undefined
TownePlace Suites Albany,Category 3,"3014 Kensington Court Albany, Georgia 31701",TownePlace Suites Albany 4.6   76 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ABYTS/abyts-desk-0004-hor-feat.jpg?resize=375:150 undefined
TownePlace Suites Albany Downtown/Medical Center,Category 2,"22 Holland Avenue Albany, New York 12209",TownePlace Suites Albany Downtown/Medical Center 4.5   421 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ALBMC/albmc-exterior-0035-hor-feat.jpg?resize=375:150 undefined
Courtyard Albion,Category 3,"200 South Superior Street Albion, Michigan 49224",Courtyard Albion 4.6   147 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/CY/cy-main01-0001-hor-feat.jpg?resize=375:150 undefined
Courtyard Albuquerque,Category 2,"5151 Journal Center Boulevard Albuquerque, New Mexico 87109",Courtyard Albuquerque 4.1   680 Reviews View Rates,undefined undefined
Courtyard Albuquerque Airport,Category 2,"1920 Yale Boulevard S.E. Albuquerque, New Mexico 87106",Courtyard Albuquerque Airport 4.3   467 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Albuquerque Airport,Category 2,"2300 Centre Avenue SE Albuquerque, New Mexico 87106",Fairfield Inn & Suites Albuquerque Airport 4.2   356 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Albuquerque North,Category 2,"4875 Pan American West Freeway NE Albuquerque, New Mexico 87109",Fairfield Inn & Suites Albuquerque North 4.6   203 Reviews View Rates,undefined undefined
Fairfield Inn Albuquerque University Area,Category 1,"1760 Menaul Boulevard NE Albuquerque, New Mexico 87102",Fairfield Inn Albuquerque University Area 3.9   667 Reviews View Rates,undefined undefined
Albuquerque Marriott Pyramid North,Category 3,"5151 San Francisco Road NE Albuquerque, New Mexico 87109",Albuquerque Marriott Pyramid North 4   860 Reviews View Rates,undefined undefined
Marriott Albuquerque,Category 3,"2101 Louisiana Boulevard NE Albuquerque, New Mexico 87110",Marriott Albuquerque 4.2   893 Reviews View Rates,undefined undefined
Residence Inn Albuquerque,Category 2,"3300 Prospect Avenue NE Albuquerque, New Mexico 87107",Residence Inn Albuquerque 4.3   444 Reviews View Rates,undefined undefined
Residence Inn Albuquerque Airport,Category 3,"2301 International Ave SE Albuquerque, New Mexico 87106",Residence Inn Albuquerque Airport 4.5   407 Reviews View Rates,undefined undefined
Residence Inn Albuquerque North,Category 3,"4331 The Lane at 25 NE Albuquerque, New Mexico 87109",Residence Inn Albuquerque North 4.5   304 Reviews View Rates,undefined undefined
SpringHill Suites Albuquerque North/Journal Center,Category 2,"5910 Holly Avenue NE Albuquerque, New Mexico 87113",SpringHill Suites Albuquerque North/Journal Center 4.7   177 Reviews View Rates,undefined undefined
Sheraton Albuquerque Airport Hotel,Category 3,"2910 Yale Boulevard S.E. Albuquerque, New Mexico 87106",Sheraton Albuquerque Airport Hotel 4   445 Reviews View Rates,undefined undefined
Sheraton Albuquerque Uptown,Category 4,"2600 Louisiana Blvd NE Albuquerque, New Mexico 87110",Sheraton Albuquerque Uptown 3.9   819 Reviews View Rates,undefined undefined
TownePlace Suites Albuquerque Airport,Category 1,"2400 Centre Ave SE Albuquerque, New Mexico 87106",TownePlace Suites Albuquerque Airport 4.2   312 Reviews View Rates,undefined undefined
TownePlace Suites Albuquerque North,Category 2,"5511 Office Boulevard NE Albuquerque, New Mexico 87109",TownePlace Suites Albuquerque North 4.6   344 Reviews View Rates,undefined undefined
Courtyard Knoxville Airport Alcoa,Category 2,"141 Furrow Way Alcoa, Tennessee 37701",Courtyard Knoxville Airport Alcoa 4.5   408 Reviews View Rates,undefined undefined
"Morrison House Old Town Alexandria, Autograph Collection",Category 5,"116 South Alfred Street Alexandria, Virginia 22314","Morrison House Old Town Alexandria, Autograph Collection 4.5   121 Reviews View Rates",undefined undefined
"The Alexandrian Old Town Alexandria, Autograph Collection",Category 5,"480 King Street Alexandria, Virginia 22314","The Alexandrian Old Town Alexandria, Autograph Collection 4.3   495 Reviews View Rates",undefined undefined
Courtyard Alexandria,Category 2,"3830 Alexandria Mall Drive Alexandria, Louisiana 71301",Courtyard Alexandria 4.4   380 Reviews View Rates,undefined undefined
Courtyard Alexandria Old Town/Southwest,Category 3,"2700 Eisenhower Avenue Alexandria, Virginia 22314",Courtyard Alexandria Old Town/Southwest 4.3   686 Reviews View Rates,undefined undefined
Courtyard Alexandria Pentagon South,Category 3,"4641 Kenmore Avenue Alexandria, Virginia 22304",Courtyard Alexandria Pentagon South 4   675 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Alexandria,Category 2,"2830 S. Macarthur Drive Alexandria, Louisiana 71301-2923",Fairfield Inn & Suites Alexandria 4.6   240 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Alexandria,Category 3,"6421 Richmond Highway Alexandria, Virginia 22306",Fairfield Inn & Suites Alexandria 4.5   103 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Alexandria,Category 3,"4929 Sanibel Drive Alexandria, Minnesota 56308",Fairfield Inn & Suites Alexandria 4.6   122 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Alexandria West/Mark Center,Category 3,"6254 Duke Street Alexandria, Virginia 22312",Fairfield Inn & Suites Alexandria West/Mark Center 4.1   132 Reviews View Rates,undefined undefined
Residence Inn Alexandria Old Town South at Carlyle,Category 3,"2345 Mill Road Alexandria, Virginia 22314",Residence Inn Alexandria Old Town South at Carlyle 4.5   535 Reviews View Rates,undefined undefined
Residence Inn Alexandria Old Town/Duke Street,Category 3,"1456 Duke Street Alexandria, Virginia 22314",Residence Inn Alexandria Old Town/Duke Street 4.7   839 Reviews View Rates,undefined undefined
SpringHill Suites Alexandria,Category 3,"6065 Richmond Highway Alexandria, Virginia 22303",SpringHill Suites Alexandria 4.3   541 Reviews View Rates,undefined undefined
SpringHill Suites Alexandria Old Town/Southwest,Category 3,"2950 Eisenhower Avenue Alexandria, Virginia 22314",SpringHill Suites Alexandria Old Town/Southwest 4.6   790 Reviews View Rates,undefined undefined
Sheraton Suites Old Town Alexandria,Category 4,"801 North Saint Asaph Street Alexandria, Virginia 22314",Sheraton Suites Old Town Alexandria 4   611 Reviews View Rates,undefined undefined
TownePlace Suites Alexandria,Category 2,"3810 Alexandria Mall Drive Alexandria, Louisiana 71301",TownePlace Suites Alexandria 4.5   222 Reviews View Rates,undefined undefined
TownePlace Suites Alexandria Fort Belvoir,Category 3,"8632 Woodlawn Court Alexandria, Virginia 22309",TownePlace Suites Alexandria Fort Belvoir 4.4   198 Reviews View Rates,undefined undefined
The Westin Alexandria Old Town,Category 4,"400 Courthouse Square Alexandria, Virginia 22314-5700",The Westin Alexandria Old Town 4.1   682 Reviews View Rates,undefined undefined
Renaissance ClubSport Aliso Viejo Laguna Beach Hotel,Category 4,"50 Enterprise Aliso Viejo, California 92656",Renaissance ClubSport Aliso Viejo Laguna Beach Hotel 4.5   478 Reviews View Rates,undefined undefined
Courtyard Dallas Allen at Allen Event Center,Category 2,"210 East Stacy Road Allen, Texas 75002",Courtyard Dallas Allen at Allen Event Center 4.4   828 Reviews View Rates,undefined undefined
Delta Hotels Dallas Allen,Category 3,"777 Watters Creek Boulevard Allen, Texas 75013",Delta Hotels Dallas Allen 4.5   130 Reviews View Rates,undefined undefined
Renaissance Allentown Hotel,Category 4,"12 North 7th Street Allentown, Pennsylvania 18101",Renaissance Allentown Hotel 4.6   445 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ABEBR/abebr-exterior-0002-hor-feat.jpg?resize=375:150 undefined
Four Points by Sheraton Allentown Lehigh Valley,Category 3,"3712 Hamilton Boulevard Allentown, Pennsylvania 18103",Four Points by Sheraton Allentown Lehigh Valley 3.4   5 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/FP/fp-main-001-hor-feat.jpg?resize=375:150 undefined
"The Hotel at Avalon, Autograph Collection",Category 4,"9000 Avalon Boulevard Alpharetta, Georgia 30009","The Hotel at Avalon, Autograph Collection 4.4   490 Reviews View Rates",https://cache.marriott.com/marriottassets/marriott/ATLRE/atlre-exterior-0013-hor-feat.jpg?resize=375:150 undefined
Courtyard Atlanta Alpharetta,Category 3,"12655 Deerfield Parkway Alpharetta, Georgia 30004",Courtyard Atlanta Alpharetta 4.3   492 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ATLPH/atlph-guestroom-0066-hor-feat.jpg?resize=375:150 undefined
Courtyard Atlanta Alpharetta/Avalon Area,Category 3,"11700 Amber Park Drive Alpharetta, Georgia 30009",Courtyard Atlanta Alpharetta/Avalon Area 4.9   57 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Atlanta Alpharetta,Category 3,"11385 Haynes Bridge Road Alpharetta, Georgia 30009",Fairfield Inn & Suites Atlanta Alpharetta 4.3   328 Reviews View Rates,undefined undefined
Atlanta Marriott Alpharetta,Category 4,"5750 Windward Parkway Alpharetta, Georgia 30005",Atlanta Marriott Alpharetta 4.4   905 Reviews View Rates,undefined undefined
Residence Inn Atlanta Alpharetta/North Point Mall,Category 3,"1325 North Point Drive Alpharetta, Georgia 30022",Residence Inn Atlanta Alpharetta/North Point Mall 4.2   404 Reviews View Rates,undefined undefined
Residence Inn Atlanta Alpharetta/Windward,Category 3,"5465 Windward Pkwy Alpharetta, Georgia 30004",Residence Inn Atlanta Alpharetta/Windward 4.6   378 Reviews View Rates,undefined undefined
SpringHill Suites Atlanta Alpharetta,Category 3,"12730 Deerfield Parkway Alpharetta, Georgia 30004",SpringHill Suites Atlanta Alpharetta 4.4   326 Reviews View Rates,undefined undefined
Aloft Alpharetta,Category 3,"7895 North Point Parkway Alpharetta, Georgia 30022",Aloft Alpharetta 4.2   87 Reviews View Rates,undefined undefined
TownePlace Suites Atlanta Alpharetta,Category 3,"7925 Westside Parkway Alpharetta, Georgia 30009",TownePlace Suites Atlanta Alpharetta 3.8   258 Reviews View Rates,undefined undefined
Residence Inn Orlando Altamonte Springs/Maitland,Category 3,"270 Douglas Avenue Altamonte Springs, Florida 32714",Residence Inn Orlando Altamonte Springs/Maitland 4.1   462 Reviews View Rates,undefined undefined
SpringHill Suites Orlando Altamonte Springs/Maitland,Category 3,"205 W. State Road 436 Altamonte Springs, Florida 32714",SpringHill Suites Orlando Altamonte Springs/Maitland 4.4   521 Reviews View Rates,undefined undefined
TownePlace Suites Orlando Altamonte Springs/Maitland,Category 3,"151 Douglas Avenue Altamonte Springs, Florida 32714",TownePlace Suites Orlando Altamonte Springs/Maitland 4.6   169 Reviews View Rates,undefined undefined
Courtyard Altoona,Category 3,"2 Convention Center Drive Altoona, Pennsylvania 16602",Courtyard Altoona 4.2   441 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Altoona,Category 3,"2915 Pleasant Valley Boulevard Altoona, Pennsylvania 16602",Fairfield Inn & Suites Altoona 4.8   283 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Des Moines Altoona,Category 3,"460 Bass Pro Drive Northwest Altoona, Iowa 50009",Fairfield Inn & Suites Des Moines Altoona 4.8   262 Reviews View Rates,undefined undefined
TownePlace Suites Altoona,Category 3,"2915 Pleasant Valley Boulevard Altoona, Pennsylvania 16602",TownePlace Suites Altoona 4.7   104 Reviews View Rates,undefined undefined
"The Barfield, Autograph Collection",Category 3,"600 South Polk Street Amarillo, Texas 79101","The Barfield, Autograph Collection View Calendar",undefined undefined
Courtyard Amarillo Downtown,Category 3,"724 South Polk Street Amarillo, Texas 79101",Courtyard Amarillo Downtown 4.4   556 Reviews View Rates,undefined undefined
Courtyard Amarillo West/Medical Center,Category 3,"8006 I-40 West Amarillo, Texas 79106",Courtyard Amarillo West/Medical Center 3.9   478 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Amarillo Airport,Category 3,"1740 Airport Boulevard Amarillo, Texas 79118",Fairfield Inn & Suites Amarillo Airport 4.4   306 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Amarillo West/Medical Center,Category 3,"6600 Interstate 40 West Amarillo, Texas 79106",Fairfield Inn & Suites Amarillo West/Medical Center 4.4   389 Reviews View Rates,undefined undefined
Residence Inn Amarillo,Category 3,"6700 Interstate 40 West Amarillo, Texas 79106",Residence Inn Amarillo 4.4   340 Reviews View Rates,undefined undefined
SpringHill Suites Amarillo,Category 3,"2301 Cinema Drive Amarillo, Texas 79124",SpringHill Suites Amarillo 4.5   313 Reviews View Rates,undefined undefined
TownePlace Suites Amarillo West/Medical Center,,"6807 Interstate 40 West Amarillo, Texas 79106",TownePlace Suites Amarillo West/Medical Center,undefined undefined
"The Ritz-Carlton, Amelia Island",Category 6,"4750 Amelia Island Parkway Amelia Island, Florida 32034","The Ritz-Carlton, Amelia Island     Open in a different browser tab 4.7   644 Reviews View Rates",undefined undefined
Fairfield Inn & Suites Napa American Canyon,Category 4,"3800 Broadway Hwy 29 American Canyon, California 94503",Fairfield Inn & Suites Napa American Canyon 4.3   289 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Ames,Category 3,"2137 Isaac Newton Dr. SE 16th St. Ames, Iowa 50010",Fairfield Inn & Suites Ames 4.6   215 Reviews View Rates,undefined undefined
TownePlace Suites Ames,Category 3,"1523 South Dayton Place Ames, Iowa 50010",TownePlace Suites Ames 4.6   124 Reviews View Rates,undefined undefined
Fairfield Inn Amesbury,Category 3,"35 Clarks Road Amesbury, Massachusetts 01913",Fairfield Inn Amesbury 4   376 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Buffalo Amherst/University,Category 3,"3880 Rensch Road Amherst, New York 14228",Fairfield Inn & Suites Buffalo Amherst/University 4.4   112 Reviews View Rates,undefined undefined
Buffalo Marriott Niagara,Category 4,"1340 Millersport Highway Amherst, New York 14221",Buffalo Marriott Niagara 4.1   639 Reviews View Rates,undefined undefined
Residence Inn Buffalo Amherst,Category 3,"100 Maple Road Amherst, New York 14221",Residence Inn Buffalo Amherst 4.1   489 Reviews View Rates,undefined undefined
"Reikart House, Buffalo, a Tribute Portfolio Hotel",Category 4,"5000 Main Street Amherst, New York 14226","Reikart House, Buffalo, a Tribute Portfolio Hotel 4.8   181 Reviews View Rates",undefined undefined
Courtyard Anaheim Resort/Convention Center,Category 5,"2045 South Harbor Blvd Anaheim, California 92802",Courtyard Anaheim Resort/Convention Center 4.4   737 Reviews View Rates,undefined undefined
Courtyard Anaheim Theme Park Entrance,Category 6,"1420 South Harbor Boulevard Anaheim, California 92802",Courtyard Anaheim Theme Park Entrance 4.8   1561 Reviews View Rates,undefined undefined
Fairfield Inn Anaheim Resort,Category 5,"1460 South Harbor Boulevard Anaheim, California 92802",Fairfield Inn Anaheim Resort 4.3   1748 Reviews View Rates,undefined undefined
"JW Marriott, Anaheim Resort",Category 7,"1775 South Clementine Street Anaheim, California 92802","JW Marriott, Anaheim Resort View Calendar",undefined undefined
Anaheim Marriott,Category 5,"700 West Convention Way Anaheim, California 92802",Anaheim Marriott 4.3   2549 Reviews View Rates,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png https://cache.marriott.com/marriottassets/marriott/LAXAH/laxah-exterior-0144-hor-feat.jpg?resize=375:150 undefined
Residence Inn at Anaheim Resort/Convention Center,Category 6,"640 West Katella Avenue Anaheim, California 92802",Residence Inn at Anaheim Resort/Convention Center 4.5   1165 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/SNAAR/snaar-exterior-0012-hor-feat.jpg?resize=375:150 undefined
SpringHill Suites Anaheim Maingate,Category 5,"1160 West Ball Road Anaheim, California 92802",SpringHill Suites Anaheim Maingate 4.5   650 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/SNAAO/snaao-entrance-0021-hor-feat.jpg?resize=375:150 undefined
SpringHill Suites at Anaheim Resort/Convention Center,Category 5,"1801 South Harbor Boulevard Anaheim, California 92802",SpringHill Suites at Anaheim Resort/Convention Center 4.3   884 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/SNAAD/snaad-exterior-0007-hor-feat.jpg?resize=375:150 undefined
Element Anaheim Resort Convention Center,Category 5,"1600 S Clementine Street Anaheim, California 92802",Element Anaheim Resort Convention Center View Calendar,undefined undefined
Four Points by Sheraton Anaheim,Category 4,"1221 South Harbor Boulevard Anaheim, California 92805",Four Points by Sheraton Anaheim 3.9   878 Reviews View Rates,undefined undefined
Sheraton Park Hotel at the Anaheim Resort,Category 5,"1855 South Harbor Boulevard Anaheim, California 92802",Sheraton Park Hotel at the Anaheim Resort 3.9   997 Reviews View Rates,undefined undefined
TownePlace Suites Anaheim Maingate Near Angel Stadium,Category 4,"1730 South State College Boulevard Anaheim, California 92806",TownePlace Suites Anaheim Maingate Near Angel Stadium 4   617 Reviews View Rates,undefined undefined
The Westin Anaheim Resort,Category 5,"1030 West Katella Avenue Anaheim, California 92802",The Westin Anaheim Resort,undefined undefined
Fairfield Inn Anaheim Hills Orange County,Category 3,"201 North Via Cortez Anaheim Hills, California 92807",Fairfield Inn Anaheim Hills Orange County 4.1   668 Reviews View Rates,undefined undefined
Residence Inn Anaheim Hills Yorba Linda,Category 3,"125 South Festival Drive Anaheim Hills, California 92808",Residence Inn Anaheim Hills Yorba Linda 4.3   379 Reviews View Rates,undefined undefined
Courtyard Anchorage Airport,Category 4,"4901 Spenard Road Anchorage, Alaska 99517-3295",Courtyard Anchorage Airport 4.4   553 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Anchorage Midtown,Category 4,"5060 A Street Anchorage, Alaska 99503",Fairfield Inn & Suites Anchorage Midtown 4.2   319 Reviews View Rates,undefined undefined
Marriott Anchorage Downtown,Category 5,"820 West 7th Avenue Anchorage, Alaska 99501",Marriott Anchorage Downtown 4.3   463 Reviews View Rates,undefined undefined
Residence Inn Anchorage Midtown,Category 4,"1025 35th Avenue Anchorage, Alaska 99508",Residence Inn Anchorage Midtown 4.4   439 Reviews View Rates,undefined undefined
SpringHill Suites Anchorage Midtown,Category 4,"3401 A Street Anchorage, Alaska 99503",SpringHill Suites Anchorage Midtown 4.5   417 Reviews View Rates,undefined undefined
SpringHill Suites Anchorage University Lake,Category 4,"4050 University Lake Drive Anchorage, Alaska 99508",SpringHill Suites Anchorage University Lake 4.6   689 Reviews View Rates,undefined undefined
Four Points by Sheraton Anchorage Downtown,Category 4,"325 West 8th Avenue Anchorage, Alaska 99501",Four Points by Sheraton Anchorage Downtown View Calendar,undefined undefined
Sheraton Anchorage Hotel & Spa,Category 5,"401 East 6th Avenue Anchorage, Alaska 99501",Sheraton Anchorage Hotel & Spa 4.1   661 Reviews View Rates,undefined undefined
TownePlace Suites Anchorage Midtown,Category 4,"600 E. 32nd Avenue Anchorage, Alaska 99503",TownePlace Suites Anchorage Midtown 4.3   321 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Anderson,Category 3,"2400 East 64th Street Anderson, Indiana 46013",Fairfield Inn & Suites Anderson 4.5   135 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Anderson Clemson,Category 3,"117 Interstate Boulevard Anderson, South Carolina 29621",Fairfield Inn & Suites Anderson Clemson 4.6   235 Reviews View Rates,undefined undefined
Courtyard Boston Andover,Category 3,"10 Campanelli Drive Andover, Massachusetts 01810",Courtyard Boston Andover 4.3   368 Reviews View Rates,undefined undefined
Residence Inn Boston Andover,Category 3,"500 Minuteman Road Andover, Massachusetts 01810",Residence Inn Boston Andover 4.3   332 Reviews View Rates,undefined undefined
SpringHill Suites Boston Andover,Category 3,"550 Minuteman Road Andover, Massachusetts 01810",SpringHill Suites Boston Andover 4.4   410 Reviews View Rates,undefined undefined
Courtyard Des Moines Ankeny,Category 2,"2405 SE Creekview Drive Ankeny, Iowa 50021",Courtyard Des Moines Ankeny 4.5   356 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Ankeny,Category 3,"215 NE Delaware Avenue Ankeny, Iowa 50021",Fairfield Inn & Suites Ankeny 4.4   284 Reviews View Rates,undefined undefined
Residence Inn Des Moines Ankeny,Category 3,"1515 SW Main Street Ankeny, Iowa 50023",Residence Inn Des Moines Ankeny View Rates,undefined undefined
Courtyard Ann Arbor,Category 4,"3205 Boardwalk Ann Arbor, Michigan 48108",Courtyard Ann Arbor 4.3   330 Reviews View Rates,undefined undefined
Fairfield Inn Ann Arbor,Category 4,"3285 Boardwalk Drive Ann Arbor, Michigan 48108",Fairfield Inn Ann Arbor 4.3   364 Reviews View Rates,undefined undefined
